date,NIFTY_ALPHA_50,NIFTY500_MOMENTUM_50,NIFTY500_MULTIFACTOR_MQVLV_50,NIFTY500_QUALITY_50,NIFTY500_VALUE_50,NIFTY500_LOW_VOLATILITY_50,NIFTY_HIGH_BETA_50,NIFTY_500
2004-09-22,1018.71,,,,,,,1480
2004-09-23,1016.29,,,,,,,1460.15
2004-09-24,1026.93,,,,,,,1460.85
2004-09-27,1033.39,,,,,,,1459.35
2004-09-28,1029.89,,,,,,,1446.25
2004-09-29,1039.69,,,,,,,1466.1
2004-09-30,1048.76,,,,,,,1478.75
2004-10-01,1053.96,,,,,,,1498.3
2004-10-04,1066,,,,,,,1520.45
2004-10-05,1075.09,,,,,,,1529.5
2004-10-06,1078.74,,,,,,,1517.6
2004-10-07,1082.4,,,,,,,1530.35
2004-10-08,1092.49,,,,,,,1534.5
2004-10-09,1101.11,,,,,,,1537.15
2004-10-11,1086.02,,,,,,,1525.75
2004-10-12,1065.61,,,,,,,1503
2004-10-14,1062.22,,,,,,,1508.1
2004-10-15,1060.9,,,,,,,1508.55
2004-10-18,1061.9,,,,,,,1501.55
2004-10-19,1070.51,,,,,,,1518.45
2004-10-20,1066.18,,,,,,,1504.7
2004-10-21,1063.31,,,,,,,1497.75
2004-10-25,1049.35,,,,,,,1474.7
2004-10-26,1056.46,,,,,,,1491.4
2004-10-27,1071.75,,,,,,,1498.65
2004-10-28,1082.04,,,,,,,1511
2004-10-29,1090.8,,,,,,,1502.05
2004-11-01,1097.98,,,,,,,1510.6
2004-11-02,1108.96,,,,,,,1526.05
2004-11-03,1130.8,,,,,,,1547
2004-11-04,1141.68,,,,,,,1548.05
2004-11-05,1144.2,,,,,,,1562.6
2004-11-08,1151.55,,,,,,,1568.9
2004-11-09,1144.27,,,,,,,1563.55
2004-11-10,1163.14,,,,,,,1579.75
2004-11-11,1165.72,,,,,,,1574.55
2004-11-12,1171.26,,,,,,,1579.15
2004-11-16,1169.64,,,,,,,1584.8
2004-11-17,1184.09,,,,,,,1597.25
2004-11-18,1191.49,,,,,,,1603.85
2004-11-19,1177.69,,,,,,,1586.6
2004-11-22,1188.32,,,,,,,1589.4
2004-11-23,1205.93,,,,,,,1608.25
2004-11-24,1213.01,,,,,,,1618.25
2004-11-25,1222.2,,,,,,,1617.35
2004-11-29,1240.35,,,,,,,1646.45
2004-11-30,1229.91,,,,,,,1653.2
2004-12-01,1229.2,,,,,,,1658.7
2004-12-02,1247.46,,,,,,,1693.8
2004-12-03,1262.94,,,,,,,1692.95
2004-12-06,1264.17,,,,,,,1691.75
2004-12-07,1269.35,,,,,,,1692.5
2004-12-08,1270.38,,,,,,,1683.95
2004-12-09,1281.19,,,,,,,1694.6
2004-12-10,1278.14,,,,,,,1680.9
2004-12-13,1294.09,,,,,,,1695.05
2004-12-14,1310.61,,,,,,,1715.2
2004-12-15,1317.54,,,,,,,1729.95
2004-12-16,1321.23,,,,,,,1736.5
2004-12-17,1318.54,,,,,,,1725.45
2004-12-20,1328.33,,,,,,,1741.65
2004-12-21,1340.77,,,,,,,1758.25
2004-12-22,1341.13,,,,,,,1748.9
2004-12-23,1360.42,,,,,,,1760.3
2004-12-24,1371.2,,,,,,,1774.25
2004-12-27,1378.81,,,,,,,1778.4
2004-12-28,1396.17,,,,,,,1794.05
2004-12-29,1384.46,,,,,,,1790.3
2004-12-30,1386.87,,,,,,,1781.1
2004-12-31,1410.88,,,,,,,1804.9
2005-01-03,1445.94,,,,,,,1834.75
2005-01-04,1454.82,,,,,,,1831.3
2005-01-05,1404.6,,,,,,,1769.2
2005-01-06,1375.44,,,,,,,1741.1
2005-01-07,1407.02,,,,,,,1758.05
2005-01-10,1413.53,,,,,,,1738.4
2005-01-11,1381.72,,,,,,,1705.9
2005-01-12,1327.05,,,,,,,1662
2005-01-13,1377.62,,,,,,,1700.35
2005-01-14,1372.33,,,,,,,1683.55
2005-01-17,1366.03,,,,,,,1679.8
2005-01-18,1382.85,,,,,,,1683.8
2005-01-19,1384.21,,,,,,,1676
2005-01-20,1369.56,,,,,,,1668.3
2005-01-24,1359.18,,,,,,,1653.8
2005-01-25,1373.38,,,,,,,1672.6
2005-01-27,1407.25,,,,,,,1692.8
2005-01-28,1436.74,,,,,,,1732.7
2005-01-31,1455.76,,,,,,,1768.25
2005-02-01,1471.41,,,,,,,1775
